Title,Type_ID,Genre_ID,Year,IMDB_Score,Netflix_Original,Main_Genre,Mapped_Genre_ID,Mapped_Type_ID
"""Indiana Jones and the Temple of Doom""",movie,"Action, Adventure",1984,7.5,False,Action,1,0.0
"""Dirty Dancing""",movie,"Drama, Music, Romance",1987,7.1,False,Drama,35,0.0
"""Indiana Jones and the Last Crusade""",movie,"Action, Adventure",1989,8.2,False,Action,1,0.0
"""Beverly Hills Cop""",movie,"Action, Comedy, Crime",1984,7.4,False,Action,1,0.0
"""Beverly Hills Cop II""",movie,"Action, Comedy, Crime",1987,6.6,False,Action,1,0.0
"""Gladiator""",movie,"Action, Adventure, Drama",2000,8.5,False,Action,1,0.0
"""All About My Mother""",movie,"Comedy, Drama, Romance",1999,7.8,False,Comedy,23,0.0
"""Léon: The Professional""",movie,"Action, Crime, Drama",1994,8.5,False,Action,1,0.0
"""Open Hearts""",movie,"Drama, Romance",2002,7.5,False,Drama,35,0.0
"""Taxi Driver""",movie,"Crime, Drama",1976,8.2,False,Crime,29,0.0
"""Run Lola Run""",movie,"Action, Crime, Thriller",1998,7.6,False,Action,1,0.0
"""Snatch""",movie,"Comedy, Crime",2000,8.2,False,Comedy,23,0.0
"""Scarface""",movie,"Crime, Drama",1983,8.3,False,Crime,29,0.0
"""Italian for Beginners""",movie,"Comedy, Drama, Romance",2000,7.0,False,Comedy,23,0.0
"""Charlie and the Chocolate Factory""",movie,"Adventure, Comedy, Family",2005,6.7,False,Adventure,8,0.0
"""The Lord of the Rings: The Fellowship of the Ring""",movie,"Adventure, Drama, Fantasy",2001,8.9,False,Adventure,8,0.0
"""The Lord of the Rings: The Two Towers""",movie,"Adventure, Drama, Fantasy",2002,8.8,False,Adventure,8,0.0
"""The Lord of the Rings: The Return of the King""",movie,"Adventure, Drama, Fantasy",2003,9.0,False,Adventure,8,0.0
"""Princess Mononoke""",movie,"Adventure, Animation, Fantasy",1997,8.3,False,Adventure,8,0.0
"""Spirited Away""",movie,"Adventure, Animation, Family",2001,8.6,False,Adventure,8,0.0
"""O Brother, Where Art Thou?""",movie,"Comedy, Crime, Drama",2000,7.7,False,Comedy,23,0.0
"""Groundhog Day""",movie,"Comedy, Drama, Fantasy",1993,8.0,False,Comedy,23,0.0
"""Bad Education""",movie,"Crime, Drama",2004,7.4,False,Crime,29,0.0
"""Donnie Darko""",movie,"Drama, Mystery, Sci-Fi",2001,8.0,False,Drama,35,0.0
"""Brokeback Mountain""",movie,"Drama, Romance",2005,7.7,False,Drama,35,0.0
"""Akira""",movie,"Animation, Drama, Fantasy",1988,8.0,False,Animation,12,0.0
"""Lost in Translation""",movie,"Comedy, Drama",2003,7.7,False,Comedy,23,0.0
"""The Dark Knight""",movie,"Action, Crime, Drama",2008,9.0,False,Action,1,0.0
"""Ocean's Eleven""",movie,"Crime, Thriller",2001,7.7,False,Crime,29,0.0
"""Ocean's Twelve""",movie,"Crime, Thriller",2004,6.5,False,Crime,29,0.0
"""Saw""",movie,"Horror, Mystery, Thriller",2004,7.6,False,Horror,50,0.0
"""Minority Report""",movie,"Action, Crime, Mystery",2002,7.6,False,Action,1,0.0
"""Jackie Brown""",movie,"Crime, Drama, Thriller",1997,7.5,False,Crime,29,0.0
"""Sin City: A Dame to Kill For""",movie,"Action, Crime, Thriller",2014,6.5,False,Action,1,0.0
"""The Name of the Rose""",movie,"Drama, Mystery, Thriller",1986,7.7,False,Drama,35,0.0
"""Amélie""",movie,"Comedy, Romance",2001,8.3,False,Comedy,23,0.0
"""The Wages of Fear""",movie,"Adventure, Drama, Thriller",1953,8.1,False,Adventure,8,0.0
"""Saw III""",movie,"Horror, Mystery, Thriller",2006,6.2,False,Horror,50,0.0
"""Saw II""",movie,"Horror, Mystery",2005,6.6,False,Horror,50,0.0
"""Indiana Jones and the Kingdom of the Crystal Skull""",movie,"Action, Adventure",2008,6.2,False,Action,1,0.0
"""Volver""",movie,"Comedy, Drama",2006,7.6,False,Comedy,23,0.0
"""Syriana""",movie,"Drama, Thriller",2005,6.9,False,Drama,35,0.0
"""Stand by Me""",movie,"Adventure, Comedy, Drama",1986,8.1,False,Adventure,8,0.0
"""The Godfather""",movie,"Crime, Drama",1972,9.2,False,Crime,29,0.0
"""The Godfather Part II""",movie,"Crime, Drama",1974,9.0,False,Crime,29,0.0
"""In China They Eat Dogs""",movie,"Action, Comedy, Crime",1999,7.3,False,Action,1,0.0
"""Live Flesh""",movie,Drama,1997,7.3,False,Drama,35,0.0
"""Batman Begins""",movie,"Action, Drama",2005,8.2,False,Action,1,0.0
"""The Shawshank Redemption""",movie,Drama,1994,9.3,False,Drama,35,0.0
"""Terminator 2: Judgment Day""",movie,"Action, Adventure, Sci-Fi",1991,8.6,False,Action,1,0.0
"""A River Runs Through It""",movie,Drama,1992,7.2,False,Drama,35,0.0
"""Terminator 3: Rise of the Machines""",movie,"Action, Sci-Fi",2003,6.3,False,Action,1,0.0
"""Ocean's Thirteen""",movie,"Crime, Thriller",2007,6.9,False,Crime,29,0.0
"""Swimming Pool""",movie,"Crime, Drama, Mystery",2003,6.7,False,Crime,29,0.0
"""Beverly Hills Cop III""",movie,"Action, Comedy, Crime",1994,5.5,False,Action,1,0.0
"""Bruce Almighty""",movie,"Comedy, Fantasy",2003,6.8,False,Comedy,23,0.0
"""Mystic River""",movie,"Crime, Drama, Mystery",2003,7.9,False,Crime,29,0.0
"""Jurassic Park""",movie,"Action, Adventure, Sci-Fi",1993,8.2,False,Action,1,0.0
"""The Lost World: Jurassic Park""",movie,"Action, Adventure, Sci-Fi",1997,6.6,False,Action,1,0.0
"""Jurassic Park III""",movie,"Action, Adventure, Sci-Fi",2001,5.9,False,Action,1,0.0
"""Eyes Wide Shut""",movie,"Drama, Mystery, Thriller",1999,7.5,False,Drama,35,0.0
"""Das Boot""",movie,"Drama, War",1981,8.4,False,Drama,35,0.0
"""A Fistful of Dollars""",movie,"Drama, Western",1964,7.9,False,Drama,35,0.0
"""Chocolat""",movie,"Drama, Romance",2000,7.2,False,Drama,35,0.0
"""Kill Bill: Vol. 2""",movie,"Action, Crime, Thriller",2004,8.0,False,Action,1,0.0
"""Basic Instinct""",movie,"Drama, Mystery, Thriller",1992,7.1,False,Drama,35,0.0
"""Driving Miss Daisy""",movie,"Comedy, Drama",1989,7.3,False,Comedy,23,0.0
"""Summer in Berlin""",movie,Drama,2005,6.9,False,Drama,35,0.0
"""The Pianist""",movie,"Biography, Drama, Music",2002,8.5,False,Biography,16,0.0
"""The Day After Tomorrow""",movie,"Action, Adventure, Sci-Fi",2004,6.5,False,Action,1,0.0
"""Sissi""",movie,"Comedy, Drama, History",1955,7.0,False,Comedy,23,0.0
"""Sissi: The Young Empress""",movie,"Drama, History",1956,6.6,False,Drama,35,0.0
"""Sissi: The Fateful Years of an Empress""",movie,"Drama, History, Romance",1957,6.6,False,Drama,35,0.0
"""Erin Brockovich""",movie,"Biography, Drama",2000,7.4,False,Biography,16,0.0
"""As It Is in Heaven""",movie,"Comedy, Drama, Music",2004,7.5,False,Comedy,23,0.0
"""My Own Private Idaho""",movie,Drama,1991,7.0,False,Drama,35,0.0
"""The African Queen""",movie,"Adventure, Drama, Romance",1951,7.7,False,Adventure,8,0.0
"""The Seventh Seal""",movie,"Drama, Fantasy",1957,8.1,False,Drama,35,0.0
"""The Green Mile""",movie,"Crime, Drama, Fantasy",1999,8.6,False,Crime,29,0.0
"""Reservoir Dogs""",movie,"Crime, Thriller",1992,8.3,False,Crime,29,0.0
"""Poseidon""",movie,"Action, Adventure, Thriller",2006,5.7,False,Action,1,0.0
"""Monster""",movie,"Biography, Crime, Drama",2003,7.3,False,Biography,16,0.0
"""Marnie""",movie,"Crime, Drama, Mystery",1964,7.1,False,Crime,29,0.0
"""Love Actually""",movie,"Comedy, Drama, Romance",2003,7.6,False,Comedy,23,0.0
"""Notting Hill""",movie,"Comedy, Drama, Romance",1999,7.2,False,Comedy,23,0.0
"""One Flew Over the Cuckoo's Nest""",movie,Drama,1975,8.7,False,Drama,35,0.0
"""Casino""",movie,"Crime, Drama",1995,8.2,False,Crime,29,0.0
"""Once Were Warriors""",movie,"Crime, Drama",1994,7.9,False,Crime,29,0.0
"""Wallace & Gromit: The Curse of the Were-Rabbit""",movie,"Adventure, Animation, Comedy",2005,7.5,False,Adventure,8,0.0
"""Terminator Salvation""",movie,"Action, Adventure, Sci-Fi",2009,6.5,False,Action,1,0.0
"""Flashdance""",movie,"Drama, Music, Romance",1983,6.2,False,Drama,35,0.0
"""Psycho""",movie,"Horror, Mystery, Thriller",1960,8.5,False,Horror,50,0.0
"""Rashomon""",movie,"Crime, Drama, Mystery",1950,8.2,False,Crime,29,0.0
"""Fight Club""",movie,Drama,1999,8.8,False,Drama,35,0.0
"""Spider-Man""",movie,"Action, Adventure, Sci-Fi",2002,7.4,False,Action,1,0.0
"""Spider-Man 2""",movie,"Action, Adventure, Sci-Fi",2004,7.5,False,Action,1,0.0
"""Spider-Man 3""",movie,"Action, Adventure, Sci-Fi",2007,6.3,False,Action,1,0.0
"""Constantine""",movie,"Action, Fantasy, Horror",2005,7.0,False,Action,1,0.0
"""The Mummy""",movie,"Action, Adventure, Fantasy",1999,7.1,False,Action,1,0.0
"""The Birds""",movie,"Drama, Horror, Mystery",1963,7.6,False,Drama,35,0.0
"""Next Door""",movie,"Mystery, Thriller",2005,6.4,False,Mystery,64,0.0
"""Jaws""",movie,"Adventure, Drama, Horror",1975,8.1,False,Adventure,8,0.0
"""Jaws 2""",movie,"Adventure, Horror, Thriller",1978,5.8,False,Adventure,8,0.0
"""The Lives of Others""",movie,"Drama, Mystery, Thriller",2006,8.4,False,Drama,35,0.0
"""Monty Python's Life of Brian""",movie,Comedy,1979,8.0,False,Comedy,23,0.0
"""2 Fast 2 Furious""",movie,"Action, Crime, Thriller",2003,5.9,False,Action,1,0.0
"""Big Fish""",movie,"Adventure, Drama, Fantasy",2003,8.0,False,Adventure,8,0.0
"""The Da Vinci Code""",movie,"Mystery, Thriller",2006,6.6,False,Mystery,64,0.0
"""The Conversation""",movie,"Drama, Mystery, Thriller",1974,7.7,False,Drama,35,0.0
"""The Terminal""",movie,"Comedy, Drama, Romance",2004,7.4,False,Comedy,23,0.0
"""Titanic""",movie,"Drama, Romance",1997,7.9,False,Drama,35,0.0
"""City of God""",movie,"Crime, Drama",2002,8.6,False,Crime,29,0.0
"""E.T. the Extra-Terrestrial""",movie,"Adventure, Family, Sci-Fi",1982,7.9,False,Adventure,8,0.0
"""The Matrix""",movie,"Action, Sci-Fi",1999,8.7,False,Action,1,0.0
"""The Matrix Reloaded""",movie,"Action, Sci-Fi",2003,7.2,False,Action,1,0.0
"""The Matrix Revolutions""",movie,"Action, Sci-Fi",2003,6.7,False,Action,1,0.0
"""Men in Black""",movie,"Action, Adventure, Comedy",1997,7.3,False,Action,1,0.0
"""Men in Black II""",movie,"Action, Adventure, Comedy",2002,6.2,False,Action,1,0.0
"""Munich""",movie,"Drama, History, Thriller",2005,7.5,False,Drama,35,0.0
"""Wild Strawberries""",movie,"Drama, Romance",1957,8.1,False,Drama,35,0.0
"""Wild Things""",movie,"Crime, Drama, Mystery",1998,6.6,False,Crime,29,0.0
"""The Bodyguard""",movie,"Drama, Music, Romance",1992,6.4,False,Drama,35,0.0
"""Ghostbusters""",movie,"Action, Comedy, Fantasy",1984,7.8,False,Action,1,0.0
"""The Ninth Gate""",movie,"Mystery, Thriller",1999,6.7,False,Mystery,64,0.0
"""Easy Rider""",movie,"Adventure, Drama",1969,7.2,False,Adventure,8,0.0
"""Interview with the Vampire""",movie,"Drama, Fantasy, Horror",1994,7.5,False,Drama,35,0.0
"""Bridget Jones's Diary""",movie,"Comedy, Drama, Romance",2001,6.8,False,Comedy,23,0.0
"""Life Is Beautiful""",movie,"Comedy, Drama, Romance",1997,8.6,False,Comedy,23,0.0
"""Boyz n the Hood""",movie,"Crime, Drama",1991,7.8,False,Crime,29,0.0
"""Troy""",movie,"Adventure, Drama",2004,7.3,False,Adventure,8,0.0
"""Saw IV""",movie,"Horror, Mystery, Thriller",2007,5.9,False,Horror,50,0.0
"""Central Station""",movie,Drama,1998,8.0,False,Drama,35,0.0
"""Oldboy""",movie,"Action, Drama, Mystery",2003,8.3,False,Action,1,0.0
"""Harry Potter and the Sorcerer's Stone""",movie,"Adventure, Family, Fantasy",2001,7.7,False,Adventure,8,0.0
"""Harry Potter and the Chamber of Secrets""",movie,"Adventure, Family, Fantasy",2002,7.4,False,Adventure,8,0.0
"""Harry Potter and the Prisoner of Azkaban""",movie,"Adventure, Family, Fantasy",2004,7.9,False,Adventure,8,0.0
"""Harry Potter and the Goblet of Fire""",movie,"Adventure, Family, Fantasy",2005,7.7,False,Adventure,8,0.0
"""Harry Potter and the Order of the Phoenix""",movie,"Action, Adventure, Family",2007,7.5,False,Action,1,0.0
"""Pulp Fiction""",movie,"Crime, Drama",1994,8.9,False,Crime,29,0.0
"""Meet the Fockers""",movie,"Comedy, Romance",2004,6.3,False,Comedy,23,0.0
"""The Piano""",movie,"Drama, Music, Romance",1993,7.5,False,Drama,35,0.0
"""Together""",movie,"Comedy, Drama, Romance",2000,7.4,False,Comedy,23,0.0
"""Top Gun""",movie,"Action, Drama",1986,6.9,False,Action,1,0.0
"""The Last Emperor""",movie,"Biography, Drama, History",1987,7.7,False,Biography,16,0.0
"""Shaun of the Dead""",movie,"Comedy, Horror",2004,7.9,False,Comedy,23,0.0
"""V for Vendetta""",movie,"Action, Drama, Sci-Fi",2005,8.1,False,Action,1,0.0
"""Monty Python and the Holy Grail""",movie,"Adventure, Comedy, Fantasy",1975,8.2,False,Adventure,8,0.0
"""The Evil Dead""",movie,Horror,1981,7.4,False,Horror,50,0.0
"""Harry Potter and the Half-Blood Prince""",movie,"Action, Adventure, Family",2009,7.6,False,Action,1,0.0
"""Goodfellas""",movie,"Biography, Crime, Drama",1990,8.7,False,Biography,16,0.0
"""Gandhi""",movie,"Biography, Drama, History",1982,8.0,False,Biography,16,0.0
"""Kolya""",movie,"Comedy, Drama, Music",1996,7.7,False,Comedy,23,0.0
"""Mr. & Mrs. Smith""",movie,"Action, Comedy, Crime",2005,6.5,False,Action,1,0.0
"""Closely Watched Trains""",movie,"Comedy, Drama, Romance",1966,7.6,False,Comedy,23,0.0
"""The Fog""",movie,"Horror, Mystery",2005,3.7,False,Horror,50,0.0
"""City of Angels""",movie,"Drama, Fantasy, Romance",1998,6.7,False,Drama,35,0.0
"""Persona""",movie,"Drama, Thriller",1966,8.0,False,Drama,35,0.0
"""Se7en""",movie,"Crime, Drama, Mystery",1995,8.6,False,Crime,29,0.0
"""Airplane!""",movie,Comedy,1980,7.7,False,Comedy,23,0.0
"""Austin Powers: International Man of Mystery""",movie,"Adventure, Comedy",1997,7.0,False,Adventure,8,0.0
"""Austin Powers: The Spy Who Shagged Me""",movie,"Action, Adventure, Comedy",1999,6.7,False,Action,1,0.0
"""Chinatown""",movie,"Drama, Mystery, Thriller",1974,8.1,False,Drama,35,0.0
"""Underworld: Evolution""",movie,"Action, Fantasy, Thriller",2006,6.7,False,Action,1,0.0
"""Barren Lives""",movie,Drama,1963,7.5,False,Drama,35,0.0
"""Close Encounters of the Third Kind""",movie,"Drama, Sci-Fi",1977,7.6,False,Drama,35,0.0
"""Dune""",movie,"Action, Adventure, Sci-Fi",1984,6.3,False,Action,1,0.0
"""In the Mood for Love""",movie,"Drama, Romance",2000,8.1,False,Drama,35,0.0
"""2046""",movie,"Drama, Romance, Sci-Fi",2004,7.4,False,Drama,35,0.0
"""The Mask""",movie,"Comedy, Crime, Fantasy",1994,7.0,False,Comedy,23,0.0
"""Black Hawk Down""",movie,"Action, Drama, History",2001,7.7,False,Action,1,0.0
"""Saving Private Ryan""",movie,"Drama, War",1998,8.6,False,Drama,35,0.0
"""Sleepless in Seattle""",movie,"Comedy, Drama, Romance",1993,6.8,False,Comedy,23,0.0
"""The Running Man""",movie,"Action, Sci-Fi, Thriller",1987,6.6,False,Action,1,0.0
"""Tsotsi""",movie,"Crime, Drama",2005,7.2,False,Crime,29,0.0
"""A Man for All Seasons""",movie,"Biography, Drama, History",1966,7.7,False,Biography,16,0.0
"""Cinderella Man""",movie,"Biography, Drama, Romance",2005,8.0,False,Biography,16,0.0
"""Dawn of the Dead""",movie,Horror,2004,7.2,False,Horror,50,0.0
"""Godzilla""",movie,"Action, Sci-Fi, Thriller",1998,5.4,False,Action,1,0.0
"""Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb""",movie,"Comedy, War",1964,8.3,False,Comedy,23,0.0
"""Lawrence of Arabia""",movie,"Adventure, Biography, Drama",1962,8.3,False,Adventure,8,0.0
"""Halloween""",movie,"Horror, Thriller",1978,7.7,False,Horror,50,0.0
"""Kindergarten Cop""",movie,"Action, Comedy, Crime",1990,6.2,False,Action,1,0.0
"""Madagascar""",movie,"Adventure, Animation, Comedy",2005,6.9,False,Adventure,8,0.0
"""Mission: Impossible""",movie,"Action, Adventure, Thriller",1996,7.2,False,Action,1,0.0
"""Mission: Impossible II""",movie,"Action, Adventure, Thriller",2000,6.1,False,Action,1,0.0
"""Mission: Impossible III""",movie,"Action, Adventure, Thriller",2006,6.9,False,Action,1,0.0
"""Seven Years in Tibet""",movie,"Adventure, Biography, Drama",1997,7.1,False,Adventure,8,0.0
"""Irreversible""",movie,"Crime, Drama, Mystery",2002,7.3,False,Crime,29,0.0
"""Whale Rider""",movie,"Drama, Family",2002,7.5,False,Drama,35,0.0
"""Point Break""",movie,"Action, Crime, Thriller",1991,7.3,False,Action,1,0.0
"""The Thirteenth Floor""",movie,"Mystery, Sci-Fi, Thriller",1999,7.0,False,Mystery,64,0.0
"""The Prestige""",movie,"Drama, Mystery, Sci-Fi",2006,8.5,False,Drama,35,0.0
"""Dreamgirls""",movie,"Drama, Musical",2006,6.6,False,Drama,35,0.0
"""Babel""",movie,Drama,2006,7.5,False,Drama,35,0.0
"""The Queen""",movie,"Biography, Drama",2006,7.3,False,Biography,16,0.0
"""The Remains of the Day""",movie,"Drama, Romance",1993,7.8,False,Drama,35,0.0
"""Hannibal Rising""",movie,"Adventure, Crime, Drama",2007,6.1,False,Adventure,8,0.0
"""Ghost Rider""",movie,"Action, Fantasy, Thriller",2007,5.3,False,Action,1,0.0
"""Letters from Iwo Jima""",movie,"Action, Adventure, Drama",2006,7.8,False,Action,1,0.0
"""Don't Worry, I'm Fine""",movie,Drama,2006,7.3,False,Drama,35,0.0
"""The Host""",movie,"Drama, Horror, Sci-Fi",2006,7.1,False,Drama,35,0.0
"""Bridge to Terabithia""",movie,"Drama, Family, Fantasy",2007,7.2,False,Drama,35,0.0
"""Mr. Bean's Holiday""",movie,"Comedy, Family",2007,6.4,False,Comedy,23,0.0
"""300""",movie,"Action, Drama",2006,7.6,False,Action,1,0.0
"""TMNT""",movie,"Action, Adventure, Animation",2007,6.2,False,Action,1,0.0
"""3-Iron""",movie,"Crime, Drama, Romance",2004,7.9,False,Crime,29,0.0
"""Torrente, the Dumb Arm of the Law""",movie,"Comedy, Crime",1998,6.8,False,Comedy,23,0.0
"""Torrente 2: Mission in Marbella""",movie,"Action, Comedy, Crime",2001,6.4,False,Action,1,0.0
"""Torrente 3: El protector""",movie,"Comedy, Crime",2005,5.6,False,Comedy,23,0.0
"""Four Minutes""",movie,"Drama, Music",2006,7.3,False,Drama,35,0.0
"""American Psycho""",movie,"Crime, Drama, Horror",2000,7.6,False,Crime,29,0.0
"""Sex and Lucía""",movie,"Drama, Romance",2001,7.0,False,Drama,35,0.0
"""Monster's Ball""",movie,"Drama, Romance",2001,7.0,False,Drama,35,0.0
"""First Blood""",movie,"Action, Adventure, Thriller",1982,7.7,False,Action,1,0.0
"""Rambo: First Blood Part II""",movie,"Action, Adventure, Thriller",1985,6.5,False,Action,1,0.0
"""Rambo III""",movie,"Action, Adventure, Thriller",1988,5.8,False,Action,1,0.0
"""Blood Diamond""",movie,"Adventure, Drama, Thriller",2006,8.0,False,Adventure,8,0.0
"""The Pursuit of Happyness""",movie,"Biography, Drama",2006,8.0,False,Biography,16,0.0
"""Cutthroat Island""",movie,"Action, Adventure, Comedy",1995,5.7,False,Action,1,0.0
"""Sex, Lies, and Videotape""",movie,Drama,1989,7.2,False,Drama,35,0.0
"""Pan's Labyrinth""",movie,"Drama, Fantasy, War",2006,8.2,False,Drama,35,0.0
"""Take My Eyes""",movie,"Drama, Romance",2003,7.4,False,Drama,35,0.0
"""The Departed""",movie,"Crime, Drama, Thriller",2006,8.5,False,Crime,29,0.0
"""Perfume: The Story of a Murderer""",movie,"Crime, Drama, Fantasy",2006,7.5,False,Crime,29,0.0
"""Once Upon a Time in Mexico""",movie,"Action, Crime, Thriller",2003,6.3,False,Action,1,0.0
"""Little Children""",movie,"Drama, Romance",2006,7.5,False,Drama,35,0.0
"""The Virgin Suicides""",movie,"Drama, Romance",1999,7.2,False,Drama,35,0.0
"""Hellboy""",movie,"Action, Adventure, Fantasy",2004,6.9,False,Action,1,0.0
"""Miss Congeniality""",movie,"Action, Comedy, Crime",2000,6.3,False,Action,1,0.0
"""Curse of the Golden Flower""",movie,"Action, Drama, Romance",2006,7.0,False,Action,1,0.0
"""Spy Game""",movie,"Action, Crime, Thriller",2001,7.1,False,Action,1,0.0
"""Collateral""",movie,"Action, Crime, Drama",2004,7.5,False,Action,1,0.0
"""The Lost Boys""",movie,"Comedy, Horror",1987,7.2,False,Comedy,23,0.0
"""The Spanish Apartment""",movie,"Comedy, Drama, Romance",2002,7.3,False,Comedy,23,0.0
"""Resident Evil""",movie,"Action, Horror, Sci-Fi",2002,6.6,False,Action,1,0.0
"""Resident Evil: Apocalypse""",movie,"Action, Horror, Sci-Fi",2004,6.1,False,Action,1,0.0
"""The Holiday""",movie,"Comedy, Romance",2006,7.0,False,Comedy,23,0.0
"""School of Rock""",movie,"Comedy, Music",2003,7.2,False,Comedy,23,0.0
"""Secret Window""",movie,"Drama, Mystery, Thriller",2004,6.5,False,Drama,35,0.0
"""What's Eating Gilbert Grape""",movie,Drama,1993,7.7,False,Drama,35,0.0
"""Bring It On""",movie,"Comedy, Romance, Sport",2000,6.1,False,Comedy,23,0.0
"""Meet the Parents""",movie,"Comedy, Romance",2000,7.0,False,Comedy,23,0.0
"""Cape Fear""",movie,"Crime, Thriller",1991,7.3,False,Crime,29,0.0
"""Hitman""",movie,"Action, Crime, Thriller",2007,6.2,False,Action,1,0.0
"""The People vs. Larry Flynt""",movie,"Biography, Drama",1996,7.3,False,Biography,16,0.0
"""Fried Green Tomatoes""",movie,Drama,1991,7.7,False,Drama,35,0.0
"""Free Willy""",movie,"Adventure, Drama, Family",1993,6.0,False,Adventure,8,0.0
"""The Island""",movie,"Action, Sci-Fi, Thriller",2005,6.8,False,Action,1,0.0
"""The Net""",movie,"Action, Crime, Drama",1995,6.0,False,Action,1,0.0
"""The Motorcycle Diaries""",movie,"Adventure, Biography, Drama",2004,7.7,False,Adventure,8,0.0
"""The Legend of Zorro""",movie,"Action, Adventure, Romance",2005,6.0,False,Action,1,0.0
"""Hostel""",movie,Horror,2005,5.9,False,Horror,50,0.0
"""Hostel: Part II""",movie,Horror,2007,5.5,False,Horror,50,0.0
"""Anatomy""",movie,"Horror, Thriller",2000,6.0,False,Horror,50,0.0
"""The Cider House Rules""",movie,"Drama, Romance",1999,7.4,False,Drama,35,0.0
"""The Incredible Hulk""",movie,"Action, Adventure, Sci-Fi",2008,6.6,False,Action,1,0.0
"""Iron Man""",movie,"Action, Adventure, Sci-Fi",2008,7.9,False,Action,1,0.0
"""The Forbidden Kingdom""",movie,"Action, Adventure, Fantasy",2008,6.5,False,Action,1,0.0
"""The Mummy Returns""",movie,"Action, Adventure, Fantasy",2001,6.4,False,Action,1,0.0
"""The Mummy: Tomb of the Dragon Emperor""",movie,"Action, Adventure, Fantasy",2008,5.2,False,Action,1,0.0
"""Next""",movie,"Action, Sci-Fi, Thriller",2007,6.2,False,Action,1,0.0
"""Footloose""",movie,"Drama, Music, Romance",1984,6.6,False,Drama,35,0.0
"""The Devil's Advocate""",movie,"Drama, Fantasy, Mystery",1997,7.5,False,Drama,35,0.0
"""50 First Dates""",movie,"Comedy, Drama, Romance",2004,6.8,False,Comedy,23,0.0
"""Russian Dolls""",movie,"Comedy, Drama, Romance",2005,7.0,False,Comedy,23,0.0
"""We Shall Overcome""",movie,"Drama, Family",2006,7.3,False,Drama,35,0.0
"""Transformers""",movie,"Action, Adventure, Sci-Fi",2007,7.1,False,Action,1,0.0
"""Fantomas Unleashed""",movie,"Adventure, Comedy, Crime",1965,6.8,False,Adventure,8,0.0
"""Fantomas""",movie,"Adventure, Comedy, Crime",1964,6.9,False,Adventure,8,0.0
"""Fantomas vs. Scotland Yard""",movie,"Adventure, Comedy, Crime",1967,6.7,False,Adventure,8,0.0
"""Fear and Loathing in Las Vegas""",movie,"Adventure, Comedy, Drama",1998,7.5,False,Adventure,8,0.0
"""The Karate Kid""",movie,"Action, Drama, Family",1984,7.3,False,Action,1,0.0
"""Marie Antoinette""",movie,"Biography, Drama, History",2006,6.5,False,Biography,16,0.0
"""Traffic""",movie,"Crime, Drama, Thriller",2000,7.6,False,Crime,29,0.0
"""In Good Company""",movie,"Comedy, Drama, Romance",2004,6.5,False,Comedy,23,0.0
"""Open Your Eyes""",movie,"Drama, Mystery, Sci-Fi",1997,7.7,False,Drama,35,0.0
"""Memoirs of a Geisha""",movie,"Drama, Romance",2005,7.3,False,Drama,35,0.0
"""The Sea Inside""",movie,"Biography, Drama",2004,8.0,False,Biography,16,0.0
"""Manta, Manta""",movie,Comedy,1991,5.7,False,Comedy,23,0.0
"""Away from Her""",movie,Drama,2006,7.5,False,Drama,35,0.0
"""Sweet November""",movie,"Drama, Romance",2001,6.7,False,Drama,35,0.0
