User_ID,Subscription_ID,Country_code,Age,Gender,Device_ID,Device_Type,Subscription_Type,Country
79,1,es,43,Female,3,Laptop,Standard,Spain
80,0,it,43,Male,2,Tablet,Basic,Italy
81,2,us,37,Male,2,Tablet,Premium,United States
82,1,ca,35,Male,3,Laptop,Standard,Canada
83,0,gb,46,Female,1,Smartphone,Basic,United Kingdom
84,1,au,32,Male,1,Smartphone,Standard,Australia
85,2,de,37,Female,3,Laptop,Premium,Germany
86,0,fr,29,Female,1,Smartphone,Basic,France
87,2,br,45,Male,4,Smart TV,Premium,Brazil
88,1,mx,47,Male,2,Tablet,Standard,Mexico
89,0,es,39,Male,1,Smartphone,Basic,Spain
90,1,it,49,Female,1,Smartphone,Standard,Italy
91,2,us,39,Male,2,Tablet,Premium,United States
92,0,ca,39,Male,4,Smart TV,Basic,Canada
93,1,gb,35,Male,1,Smartphone,Standard,United Kingdom
94,2,au,44,Male,1,Smartphone,Premium,Australia
95,0,de,34,Male,3,Laptop,Basic,Germany
96,2,fr,32,Male,3,Laptop,Premium,France
97,0,br,29,Female,2,Tablet,Basic,Brazil
98,1,mx,31,Female,2,Tablet,Standard,Mexico
99,1,es,29,Female,2,Tablet,Standard,Spain
100,0,it,35,Male,3,Laptop,Basic,Italy
101,2,us,46,Female,2,Tablet,Premium,United States
102,0,ca,31,Male,2,Tablet,Basic,Canada
103,1,gb,36,Male,3,Laptop,Standard,United Kingdom
104,2,au,38,Male,3,Laptop,Premium,Australia
105,0,de,46,Female,3,Laptop,Basic,Germany
106,2,fr,49,Female,2,Tablet,Premium,France
107,0,br,29,Female,4,Smart TV,Basic,Brazil
108,1,mx,27,Female,4,Smart TV,Standard,Mexico
109,1,es,35,Female,2,Tablet,Standard,Spain
110,0,it,37,Female,3,Laptop,Basic,Italy
111,2,us,40,Male,2,Tablet,Premium,United States
112,0,ca,33,Female,3,Laptop,Basic,Canada
113,1,gb,37,Male,2,Tablet,Standard,United Kingdom
114,2,au,48,Male,1,Smartphone,Premium,Australia
115,0,de,50,Female,3,Laptop,Basic,Germany
116,2,fr,45,Female,4,Smart TV,Premium,France
117,0,br,40,Female,2,Tablet,Basic,Brazil
118,1,mx,33,Male,1,Smartphone,Standard,Mexico
119,1,es,44,Female,1,Smartphone,Standard,Spain
120,0,it,30,Female,4,Smart TV,Basic,Italy
121,2,us,27,Male,4,Smart TV,Premium,United States
122,0,ca,51,Male,4,Smart TV,Basic,Canada
123,1,gb,49,Female,1,Smartphone,Standard,United Kingdom
124,2,au,43,Male,3,Laptop,Premium,Australia
125,0,de,42,Male,1,Smartphone,Basic,Germany
126,2,fr,45,Male,3,Laptop,Premium,France
127,0,br,36,Male,1,Smartphone,Basic,Brazil
128,1,mx,48,Male,1,Smartphone,Standard,Mexico
129,1,es,38,Male,4,Smart TV,Standard,Spain
130,0,it,43,Female,2,Tablet,Basic,Italy
131,2,us,47,Male,3,Laptop,Premium,United States
132,0,ca,48,Female,4,Smart TV,Basic,Canada
133,1,gb,47,Male,4,Smart TV,Standard,United Kingdom
134,2,au,32,Male,2,Tablet,Premium,Australia
135,0,de,47,Female,4,Smart TV,Basic,Germany
136,2,fr,41,Female,4,Smart TV,Premium,France
137,0,br,49,Male,3,Laptop,Basic,Brazil
138,1,mx,28,Male,3,Laptop,Standard,Mexico
139,1,es,40,Male,1,Smartphone,Standard,Spain
140,0,it,43,Female,1,Smartphone,Basic,Italy
141,2,us,42,Male,1,Smartphone,Premium,United States
142,0,ca,28,Male,4,Smart TV,Basic,Canada
143,1,gb,30,Female,2,Tablet,Standard,United Kingdom
144,2,au,33,Male,4,Smart TV,Premium,Australia
145,0,de,35,Female,3,Laptop,Basic,Germany
146,0,fr,38,Male,2,Tablet,Basic,France
147,0,br,49,Female,3,Laptop,Basic,Brazil
148,1,mx,39,Female,1,Smartphone,Standard,Mexico
149,2,es,46,Female,4,Smart TV,Premium,Spain
150,0,it,47,Female,3,Laptop,Basic,Italy
151,0,us,30,Female,3,Laptop,Basic,United States
152,2,ca,33,Female,2,Tablet,Premium,Canada
153,1,gb,47,Male,1,Smartphone,Standard,United Kingdom
154,1,au,27,Male,3,Laptop,Standard,Australia
155,0,de,28,Male,2,Tablet,Basic,Germany
156,2,fr,47,Male,1,Smartphone,Premium,France
157,1,br,30,Male,3,Laptop,Standard,Brazil
158,0,mx,47,Female,1,Smartphone,Basic,Mexico
159,1,es,51,Female,4,Smart TV,Standard,Spain
160,2,it,39,Male,1,Smartphone,Premium,Italy
161,0,us,45,Male,2,Tablet,Basic,United States
162,2,ca,31,Male,3,Laptop,Premium,Canada
163,1,gb,29,Male,3,Laptop,Standard,United Kingdom
164,0,au,42,Female,2,Tablet,Basic,Australia
165,1,de,49,Male,2,Tablet,Standard,Germany
166,2,fr,42,Male,3,Laptop,Premium,France
167,0,br,29,Male,1,Smartphone,Basic,Brazil
168,1,mx,29,Male,2,Tablet,Standard,Mexico
169,2,es,49,Male,2,Tablet,Premium,Spain
170,0,it,32,Male,3,Laptop,Basic,Italy
171,2,us,35,Female,2,Tablet,Premium,United States
172,0,ca,39,Female,1,Smartphone,Basic,Canada
173,1,gb,40,Male,1,Smartphone,Standard,United Kingdom
174,1,au,39,Female,2,Tablet,Standard,Australia
175,0,de,47,Female,3,Laptop,Basic,Germany
176,2,fr,37,Female,4,Smart TV,Premium,France
177,0,br,27,Female,1,Smartphone,Basic,Brazil
178,1,mx,49,Female,3,Laptop,Standard,Mexico
179,2,es,30,Female,2,Tablet,Premium,Spain
180,0,it,36,Male,3,Laptop,Basic,Italy
181,2,us,33,Male,1,Smartphone,Premium,United States
182,0,ca,30,Female,3,Laptop,Basic,Canada
183,1,gb,36,Female,2,Tablet,Standard,United Kingdom
184,1,au,28,Female,3,Laptop,Standard,Australia
185,0,de,47,Female,2,Tablet,Basic,Germany
186,2,fr,33,Female,4,Smart TV,Premium,France
187,0,br,49,Female,3,Laptop,Basic,Brazil
188,1,mx,44,Female,4,Smart TV,Standard,Mexico
189,2,es,47,Male,4,Smart TV,Premium,Spain
190,0,it,37,Female,2,Tablet,Basic,Italy
191,2,us,46,Male,3,Laptop,Premium,United States
192,0,ca,50,Female,1,Smartphone,Basic,Canada
193,1,gb,50,Male,3,Laptop,Standard,United Kingdom
194,1,au,37,Male,3,Laptop,Standard,Australia
195,0,de,50,Female,1,Smartphone,Basic,Germany
196,2,fr,45,Female,4,Smart TV,Premium,France
197,0,br,45,Male,2,Tablet,Basic,Brazil
198,1,mx,49,Female,3,Laptop,Standard,Mexico
199,2,es,39,Female,2,Tablet,Premium,Spain
200,0,it,45,Female,2,Tablet,Basic,Italy
201,2,us,49,Female,4,Smart TV,Premium,United States
202,0,ca,31,Female,2,Tablet,Basic,Canada
203,1,gb,42,Female,4,Smart TV,Standard,United Kingdom
204,1,au,37,Male,1,Smartphone,Standard,Australia
205,0,de,30,Male,4,Smart TV,Basic,Germany
206,2,fr,40,Male,1,Smartphone,Premium,France
207,0,br,45,Female,1,Smartphone,Basic,Brazil
208,1,mx,36,Female,2,Tablet,Standard,Mexico
209,2,es,41,Male,3,Laptop,Premium,Spain
210,0,it,49,Female,3,Laptop,Basic,Italy
211,2,us,40,Male,2,Tablet,Premium,United States
212,0,ca,36,Male,4,Smart TV,Basic,Canada
213,1,gb,49,Female,4,Smart TV,Standard,United Kingdom
214,1,au,43,Female,3,Laptop,Standard,Australia
215,0,de,50,Female,1,Smartphone,Basic,Germany
216,2,fr,51,Female,4,Smart TV,Premium,France
217,0,br,44,Male,4,Smart TV,Basic,Brazil
218,1,mx,27,Male,2,Tablet,Standard,Mexico
219,2,es,46,Female,1,Smartphone,Premium,Spain
220,0,it,29,Male,2,Tablet,Basic,Italy
221,0,us,47,Male,1,Smartphone,Basic,United States
222,0,ca,48,Female,1,Smartphone,Basic,Canada
223,1,gb,34,Female,1,Smartphone,Standard,United Kingdom
224,2,au,40,Female,1,Smartphone,Premium,Australia
225,0,de,48,Female,1,Smartphone,Basic,Germany
226,0,fr,35,Male,1,Smartphone,Basic,France
227,2,br,51,Female,1,Smartphone,Premium,Brazil
228,1,mx,39,Male,4,Smart TV,Standard,Mexico
229,1,es,29,Male,1,Smartphone,Standard,Spain
230,0,it,51,Male,3,Laptop,Basic,Italy
231,2,us,43,Male,1,Smartphone,Premium,United States
232,1,ca,28,Male,1,Smartphone,Standard,Canada
233,0,gb,50,Female,4,Smart TV,Basic,United Kingdom
234,1,au,44,Female,3,Laptop,Standard,Australia
235,2,de,50,Male,3,Laptop,Premium,Germany
236,0,fr,39,Female,1,Smartphone,Basic,France
237,2,br,46,Female,2,Tablet,Premium,Brazil
238,1,mx,48,Male,1,Smartphone,Standard,Mexico
239,0,es,38,Male,4,Smart TV,Basic,Spain
240,1,it,38,Male,1,Smartphone,Standard,Italy
241,2,us,47,Male,3,Laptop,Premium,United States
242,0,ca,37,Male,3,Laptop,Basic,Canada
243,1,gb,33,Male,3,Laptop,Standard,United Kingdom
244,2,au,28,Male,1,Smartphone,Premium,Australia
245,0,de,47,Male,4,Smart TV,Basic,Germany
246,2,fr,38,Female,1,Smartphone,Premium,France
247,0,br,27,Male,4,Smart TV,Basic,Brazil
248,1,mx,34,Male,1,Smartphone,Standard,Mexico
249,1,es,42,Female,1,Smartphone,Standard,Spain
250,0,it,28,Male,3,Laptop,Basic,Italy
251,2,us,30,Male,3,Laptop,Premium,United States
252,0,ca,38,Female,1,Smartphone,Basic,Canada
253,1,gb,45,Female,2,Tablet,Standard,United Kingdom
254,2,au,48,Female,4,Smart TV,Premium,Australia
255,0,de,46,Female,4,Smart TV,Basic,Germany
256,2,fr,34,Male,2,Tablet,Premium,France
257,0,br,46,Male,3,Laptop,Basic,Brazil
258,1,mx,41,Female,1,Smartphone,Standard,Mexico
259,1,es,28,Male,1,Smartphone,Standard,Spain
260,0,it,27,Female,1,Smartphone,Basic,Italy
261,2,us,27,Female,4,Smart TV,Premium,United States
262,0,ca,28,Female,2,Tablet,Basic,Canada
263,1,gb,46,Male,1,Smartphone,Standard,United Kingdom
264,2,au,51,Male,1,Smartphone,Premium,Australia
265,0,de,32,Female,4,Smart TV,Basic,Germany
266,2,fr,44,Male,2,Tablet,Premium,France
267,0,br,44,Female,3,Laptop,Basic,Brazil
268,1,mx,34,Female,4,Smart TV,Standard,Mexico
269,1,es,29,Female,3,Laptop,Standard,Spain
270,0,it,47,Male,4,Smart TV,Basic,Italy
271,2,us,41,Male,3,Laptop,Premium,United States
272,0,ca,36,Female,1,Smartphone,Basic,Canada
273,1,gb,28,Female,3,Laptop,Standard,United Kingdom
274,2,au,27,Female,2,Tablet,Premium,Australia
275,0,de,34,Female,3,Laptop,Basic,Germany
276,2,fr,34,Female,4,Smart TV,Premium,France
277,0,br,37,Female,2,Tablet,Basic,Brazil
278,1,mx,34,Female,3,Laptop,Standard,Mexico
279,1,es,50,Female,3,Laptop,Standard,Spain
280,0,it,34,Female,3,Laptop,Basic,Italy
281,2,us,33,Female,4,Smart TV,Premium,United States
282,0,ca,33,Male,4,Smart TV,Basic,Canada
283,1,gb,46,Male,1,Smartphone,Standard,United Kingdom
284,2,au,39,Female,1,Smartphone,Premium,Australia
285,0,de,42,Female,3,Laptop,Basic,Germany
286,2,fr,50,Female,3,Laptop,Premium,France
287,0,br,43,Male,1,Smartphone,Basic,Brazil
288,1,mx,51,Male,4,Smart TV,Standard,Mexico
289,1,es,34,Female,4,Smart TV,Standard,Spain
290,0,it,48,Male,1,Smartphone,Basic,Italy
291,2,us,29,Female,2,Tablet,Premium,United States
292,0,ca,43,Female,3,Laptop,Basic,Canada
293,1,gb,39,Female,3,Laptop,Standard,United Kingdom
294,2,au,50,Male,3,Laptop,Premium,Australia
295,0,de,45,Male,3,Laptop,Basic,Germany
296,0,fr,48,Female,2,Tablet,Basic,France
297,0,br,40,Male,1,Smartphone,Basic,Brazil
298,1,mx,41,Male,2,Tablet,Standard,Mexico
299,2,es,27,Male,1,Smartphone,Premium,Spain
300,0,it,36,Male,3,Laptop,Basic,Italy
301,0,us,36,Female,3,Laptop,Basic,United States
302,2,ca,44,Male,2,Tablet,Premium,Canada
303,1,gb,45,Male,2,Tablet,Standard,United Kingdom
304,1,au,33,Female,1,Smartphone,Standard,Australia
305,0,de,47,Male,4,Smart TV,Basic,Germany
306,2,fr,45,Male,2,Tablet,Premium,France
307,1,br,29,Female,4,Smart TV,Standard,Brazil
308,0,mx,31,Male,4,Smart TV,Basic,Mexico
309,1,es,31,Male,1,Smartphone,Standard,Spain
310,2,it,49,Female,1,Smartphone,Premium,Italy
311,0,us,29,Female,1,Smartphone,Basic,United States
312,2,ca,50,Male,3,Laptop,Premium,Canada
313,1,gb,36,Female,3,Laptop,Standard,United Kingdom
314,0,au,28,Male,3,Laptop,Basic,Australia
315,1,de,47,Female,4,Smart TV,Standard,Germany
316,2,fr,50,Female,3,Laptop,Premium,France
317,0,br,44,Female,2,Tablet,Basic,Brazil
318,1,mx,39,Female,3,Laptop,Standard,Mexico
319,2,es,32,Female,1,Smartphone,Premium,Spain
320,0,it,30,Female,3,Laptop,Basic,Italy
321,2,us,33,Female,1,Smartphone,Premium,United States
322,0,ca,44,Male,1,Smartphone,Basic,Canada
323,1,gb,40,Male,1,Smartphone,Standard,United Kingdom
324,1,au,32,Male,2,Tablet,Standard,Australia
325,0,de,32,Male,2,Tablet,Basic,Germany
326,2,fr,30,Male,1,Smartphone,Premium,France
327,0,br,32,Female,1,Smartphone,Basic,Brazil
328,1,mx,45,Female,2,Tablet,Standard,Mexico
329,2,es,35,Female,4,Smart TV,Premium,Spain
330,0,it,40,Female,4,Smart TV,Basic,Italy
331,2,us,29,Female,2,Tablet,Premium,United States
332,0,ca,31,Male,2,Tablet,Basic,Canada
333,1,gb,43,Female,4,Smart TV,Standard,United Kingdom
334,1,au,34,Male,4,Smart TV,Standard,Australia
335,0,de,47,Female,2,Tablet,Basic,Germany
336,2,fr,35,Male,3,Laptop,Premium,France
337,0,br,36,Male,3,Laptop,Basic,Brazil
338,1,mx,33,Male,2,Tablet,Standard,Mexico
339,2,es,30,Female,3,Laptop,Premium,Spain
340,0,it,44,Female,1,Smartphone,Basic,Italy
341,2,us,44,Female,3,Laptop,Premium,United States
342,0,ca,41,Female,3,Laptop,Basic,Canada
343,1,gb,46,Male,4,Smart TV,Standard,United Kingdom
344,1,au,42,Female,1,Smartphone,Standard,Australia
345,0,de,48,Female,4,Smart TV,Basic,Germany
346,2,fr,37,Male,2,Tablet,Premium,France
347,0,br,29,Male,1,Smartphone,Basic,Brazil
348,1,mx,30,Male,4,Smart TV,Standard,Mexico
349,2,es,28,Male,1,Smartphone,Premium,Spain
350,0,it,44,Female,1,Smartphone,Basic,Italy
351,2,us,34,Female,4,Smart TV,Premium,United States
352,0,ca,38,Male,3,Laptop,Basic,Canada
353,1,gb,34,Female,1,Smartphone,Standard,United Kingdom
354,1,au,40,Female,3,Laptop,Standard,Australia
355,0,de,32,Female,2,Tablet,Basic,Germany
356,2,fr,38,Male,4,Smart TV,Premium,France
357,0,br,39,Male,1,Smartphone,Basic,Brazil
358,1,mx,34,Female,4,Smart TV,Standard,Mexico
359,2,es,41,Male,1,Smartphone,Premium,Spain
360,0,it,43,Female,2,Tablet,Basic,Italy
361,2,us,36,Female,3,Laptop,Premium,United States
362,0,ca,31,Male,3,Laptop,Basic,Canada
363,1,gb,47,Female,4,Smart TV,Standard,United Kingdom
364,1,au,48,Male,4,Smart TV,Standard,Australia
365,0,de,36,Male,3,Laptop,Basic,Germany
366,2,fr,41,Male,4,Smart TV,Premium,France
367,0,br,32,Male,3,Laptop,Basic,Brazil
368,1,mx,28,Male,1,Smartphone,Standard,Mexico
369,2,es,46,Female,1,Smartphone,Premium,Spain
370,0,it,46,Female,1,Smartphone,Basic,Italy
371,0,us,47,Male,2,Tablet,Basic,United States
372,0,ca,31,Female,2,Tablet,Basic,Canada
373,1,gb,44,Female,2,Tablet,Standard,United Kingdom
374,2,au,39,Female,3,Laptop,Premium,Australia
375,0,de,44,Female,3,Laptop,Basic,Germany
376,0,fr,39,Female,1,Smartphone,Basic,France
377,2,br,37,Male,3,Laptop,Premium,Brazil
378,1,mx,47,Female,3,Laptop,Standard,Mexico
379,1,es,46,Female,4,Smart TV,Standard,Spain
380,0,it,27,Female,4,Smart TV,Basic,Italy
381,2,us,43,Female,3,Laptop,Premium,United States
382,1,ca,51,Male,4,Smart TV,Standard,Canada
383,0,gb,49,Male,4,Smart TV,Basic,United Kingdom
384,1,au,35,Female,1,Smartphone,Standard,Australia
385,2,de,44,Male,1,Smartphone,Premium,Germany
386,0,fr,48,Male,2,Tablet,Basic,France
387,2,br,39,Female,2,Tablet,Premium,Brazil
388,1,mx,38,Male,3,Laptop,Standard,Mexico
389,0,es,45,Male,4,Smart TV,Basic,Spain
390,1,it,43,Female,3,Laptop,Standard,Italy
391,2,us,42,Male,3,Laptop,Premium,United States
392,0,ca,28,Male,4,Smart TV,Basic,Canada
393,1,gb,40,Male,2,Tablet,Standard,United Kingdom
394,2,au,41,Female,2,Tablet,Premium,Australia
395,0,de,45,Female,3,Laptop,Basic,Germany
396,2,fr,30,Female,1,Smartphone,Premium,France
397,0,br,31,Female,1,Smartphone,Basic,Brazil
398,1,mx,51,Female,2,Tablet,Standard,Mexico
399,1,es,44,Female,1,Smartphone,Standard,Spain
400,0,it,49,Male,3,Laptop,Basic,Italy
401,2,us,47,Female,3,Laptop,Premium,United States
402,0,ca,42,Male,1,Smartphone,Basic,Canada
403,1,gb,28,Male,1,Smartphone,Standard,United Kingdom
404,2,au,28,Male,1,Smartphone,Premium,Australia
405,0,de,49,Female,2,Tablet,Basic,Germany
406,2,fr,32,Female,1,Smartphone,Premium,France
407,0,br,37,Female,2,Tablet,Basic,Brazil
408,1,mx,37,Female,2,Tablet,Standard,Mexico
409,1,es,37,Male,1,Smartphone,Standard,Spain
410,0,it,37,Male,4,Smart TV,Basic,Italy
411,2,us,48,Female,2,Tablet,Premium,United States
412,0,ca,47,Male,3,Laptop,Basic,Canada
413,1,gb,41,Female,1,Smartphone,Standard,United Kingdom
414,2,au,47,Female,3,Laptop,Premium,Australia
415,0,de,39,Female,1,Smartphone,Basic,Germany
416,2,fr,28,Male,2,Tablet,Premium,France
417,0,br,31,Male,4,Smart TV,Basic,Brazil
418,1,mx,47,Female,4,Smart TV,Standard,Mexico
419,1,es,27,Female,3,Laptop,Standard,Spain
420,0,it,28,Male,3,Laptop,Basic,Italy
421,2,us,33,Male,2,Tablet,Premium,United States
422,0,ca,29,Female,2,Tablet,Basic,Canada
423,1,gb,41,Male,1,Smartphone,Standard,United Kingdom
424,2,au,28,Female,2,Tablet,Premium,Australia
425,0,de,38,Male,2,Tablet,Basic,Germany
426,2,fr,35,Male,3,Laptop,Premium,France
427,0,br,51,Male,4,Smart TV,Basic,Brazil
428,1,mx,45,Male,1,Smartphone,Standard,Mexico
429,1,es,51,Male,3,Laptop,Standard,Spain
430,0,it,46,Female,4,Smart TV,Basic,Italy
431,2,us,28,Male,4,Smart TV,Premium,United States
432,0,ca,46,Female,4,Smart TV,Basic,Canada
433,1,gb,46,Female,1,Smartphone,Standard,United Kingdom
434,2,au,32,Female,3,Laptop,Premium,Australia
435,0,de,39,Female,4,Smart TV,Basic,Germany
436,2,fr,41,Female,1,Smartphone,Premium,France
437,0,br,47,Male,4,Smart TV,Basic,Brazil
438,1,mx,35,Male,4,Smart TV,Standard,Mexico
439,1,es,37,Female,4,Smart TV,Standard,Spain
440,0,it,47,Male,2,Tablet,Basic,Italy
441,2,us,48,Female,3,Laptop,Premium,United States
442,0,ca,30,Female,3,Laptop,Basic,Canada
443,1,gb,36,Male,4,Smart TV,Standard,United Kingdom
444,2,au,50,Female,1,Smartphone,Premium,Australia
445,0,de,41,Male,2,Tablet,Basic,Germany
446,0,fr,46,Female,1,Smartphone,Basic,France
447,0,br,36,Female,3,Laptop,Basic,Brazil
448,1,mx,48,Male,2,Tablet,Standard,Mexico
449,2,es,37,Female,3,Laptop,Premium,Spain
450,0,it,49,Male,3,Laptop,Basic,Italy
451,0,us,31,Female,3,Laptop,Basic,United States
452,2,ca,42,Female,3,Laptop,Premium,Canada
453,1,gb,45,Female,2,Tablet,Standard,United Kingdom
454,1,au,51,Female,2,Tablet,Standard,Australia
455,0,de,31,Female,4,Smart TV,Basic,Germany
456,2,fr,41,Male,2,Tablet,Premium,France
457,1,br,40,Male,4,Smart TV,Standard,Brazil
458,0,mx,27,Male,2,Tablet,Basic,Mexico
459,1,es,46,Female,2,Tablet,Standard,Spain
460,2,it,30,Female,4,Smart TV,Premium,Italy
461,0,us,37,Male,4,Smart TV,Basic,United States
462,2,ca,45,Male,1,Smartphone,Premium,Canada
463,1,gb,40,Male,4,Smart TV,Standard,United Kingdom
464,0,au,45,Male,3,Laptop,Basic,Australia
465,1,de,34,Male,3,Laptop,Standard,Germany
466,2,fr,33,Male,3,Laptop,Premium,France
467,0,br,47,Female,3,Laptop,Basic,Brazil
468,1,mx,32,Male,4,Smart TV,Standard,Mexico
469,2,es,41,Female,2,Tablet,Premium,Spain
470,0,it,31,Female,2,Tablet,Basic,Italy
471,2,us,43,Male,2,Tablet,Premium,United States
472,0,ca,32,Female,2,Tablet,Basic,Canada
473,1,gb,46,Female,1,Smartphone,Standard,United Kingdom
474,1,au,38,Male,1,Smartphone,Standard,Australia
475,0,de,31,Female,4,Smart TV,Basic,Germany
476,2,fr,31,Female,3,Laptop,Premium,France
477,0,br,50,Male,3,Laptop,Basic,Brazil
478,1,mx,32,Male,3,Laptop,Standard,Mexico
479,2,es,38,Female,1,Smartphone,Premium,Spain
480,0,it,37,Female,3,Laptop,Basic,Italy
481,2,us,36,Male,4,Smart TV,Premium,United States
482,0,ca,30,Male,4,Smart TV,Basic,Canada
483,1,gb,28,Male,4,Smart TV,Standard,United Kingdom
484,1,au,40,Male,1,Smartphone,Standard,Australia
485,0,de,28,Female,2,Tablet,Basic,Germany
486,2,fr,37,Female,3,Laptop,Premium,France
487,0,br,30,Male,4,Smart TV,Basic,Brazil
488,1,mx,33,Female,4,Smart TV,Standard,Mexico
489,2,es,49,Male,2,Tablet,Premium,Spain
490,0,it,36,Female,4,Smart TV,Basic,Italy
491,2,us,28,Female,1,Smartphone,Premium,United States
492,0,ca,51,Male,2,Tablet,Basic,Canada
493,1,gb,35,Female,1,Smartphone,Standard,United Kingdom
494,1,au,31,Male,4,Smart TV,Standard,Australia
495,0,de,39,Male,1,Smartphone,Basic,Germany
496,2,fr,51,Female,3,Laptop,Premium,France
497,0,br,44,Male,1,Smartphone,Basic,Brazil
498,1,mx,41,Female,1,Smartphone,Standard,Mexico
499,2,es,28,Female,3,Laptop,Premium,Spain
500,0,it,38,Male,3,Laptop,Basic,Italy
501,2,es,43,Male,1,Smartphone,Premium,Spain
502,0,es,38,Male,1,Smartphone,Basic,Spain
503,1,us,30,Male,2,Tablet,Standard,United States
504,1,ca,32,Female,3,Laptop,Standard,Canada
505,0,us,35,Male,1,Smartphone,Basic,United States
506,2,us,27,Male,4,Smart TV,Premium,United States
507,0,ca,49,Female,2,Tablet,Basic,Canada
508,1,gb,42,Female,2,Tablet,Standard,United Kingdom
509,2,au,40,Male,1,Smartphone,Premium,Australia
510,0,de,43,Female,2,Tablet,Basic,Germany
511,2,fr,44,Female,4,Smart TV,Premium,France
512,0,br,32,Male,2,Tablet,Basic,Brazil
513,1,mx,50,Male,2,Tablet,Standard,Mexico
